fecha,cafeteria_id,producto,clima,dia_semana,es_finde,temperatura
2024-10-01,Ade_c1,Cappuccino,frío extremo,Tuesday,0,20.0
2024-10-01,Ade_c1,Cold Brew,frío extremo,Tuesday,0,20.0
2024-10-01,Ade_c1,Espresso,frío extremo,Tuesday,0,20.0
2024-10-01,Ade_c1,Flat White,frío extremo,Tuesday,0,20.0
2024-10-01,Ade_c1,Latte,frío extremo,Tuesday,0,20.0
2024-10-01,Ade_c1,Mocha,frío extremo,Tuesday,0,20.0
2024-10-01,Ade_c2,Cappuccino,parcialmente nublado,Tuesday,0,20.0
2024-10-01,Ade_c2,Cold Brew,parcialmente nublado,Tuesday,0,20.0
2024-10-01,Ade_c2,Espresso,parcialmente nublado,Tuesday,0,20.0
2024-10-01,Ade_c2,Flat White,parcialmente nublado,Tuesday,0,20.0
2024-10-01,Ade_c2,Latte,parcialmente nublado,Tuesday,0,20.0
2024-10-01,Ade_c2,Mocha,parcialmente nublado,Tuesday,0,20.0
2024-10-01,Ade_c3,Cappuccino,frío extremo,Tuesday,0,20.0
2024-10-01,Ade_c3,Cold Brew,frío extremo,Tuesday,0,20.0
2024-10-01,Ade_c3,Espresso,frío extremo,Tuesday,0,20.0
2024-10-01,Ade_c3,Flat White,frío extremo,Tuesday,0,20.0
2024-10-01,Ade_c3,Latte,frío extremo,Tuesday,0,20.0
2024-10-01,Ade_c3,Mocha,frío extremo,Tuesday,0,20.0
2024-10-01,Ade_c4,Cappuccino,tormenta,Tuesday,0,20.0
2024-10-01,Ade_c4,Cold Brew,tormenta,Tuesday,0,20.0
2024-10-01,Ade_c4,Espresso,tormenta,Tuesday,0,20.0
2024-10-01,Ade_c4,Flat White,tormenta,Tuesday,0,20.0
2024-10-01,Ade_c4,Latte,tormenta,Tuesday,0,20.0
2024-10-01,Ade_c4,Mocha,tormenta,Tuesday,0,20.0
2024-10-01,Bri_c1,Cappuccino,tormenta,Tuesday,0,20.0
2024-10-01,Bri_c1,Cold Brew,tormenta,Tuesday,0,20.0
2024-10-01,Bri_c1,Espresso,tormenta,Tuesday,0,20.0
2024-10-01,Bri_c1,Flat White,tormenta,Tuesday,0,20.0
2024-10-01,Bri_c1,Latte,tormenta,Tuesday,0,20.0
2024-10-01,Bri_c1,Mocha,tormenta,Tuesday,0,20.0
2024-10-01,Bri_c10,Cappuccino,lluvia,Tuesday,0,20.0
2024-10-01,Bri_c10,Cold Brew,lluvia,Tuesday,0,20.0
2024-10-01,Bri_c10,Espresso,lluvia,Tuesday,0,20.0
2024-10-01,Bri_c10,Flat White,lluvia,Tuesday,0,20.0
2024-10-01,Bri_c10,Latte,lluvia,Tuesday,0,20.0
2024-10-01,Bri_c10,Mocha,lluvia,Tuesday,0,20.0
2024-10-01,Bri_c2,Cappuccino,calor extremo,Tuesday,0,20.0
2024-10-01,Bri_c2,Cold Brew,calor extremo,Tuesday,0,20.0
2024-10-01,Bri_c2,Espresso,calor extremo,Tuesday,0,20.0
2024-10-01,Bri_c2,Flat White,calor extremo,Tuesday,0,20.0
2024-10-01,Bri_c2,Latte,calor extremo,Tuesday,0,20.0
2024-10-01,Bri_c2,Mocha,calor extremo,Tuesday,0,20.0
2024-10-01,Bri_c3,Cappuccino,soleado,Tuesday,0,20.0
2024-10-01,Bri_c3,Cold Brew,soleado,Tuesday,0,20.0
2024-10-01,Bri_c3,Espresso,soleado,Tuesday,0,20.0
2024-10-01,Bri_c3,Flat White,soleado,Tuesday,0,20.0
2024-10-01,Bri_c3,Latte,soleado,Tuesday,0,20.0
2024-10-01,Bri_c3,Mocha,soleado,Tuesday,0,20.0
2024-10-01,Bri_c4,Cappuccino,soleado,Tuesday,0,20.0
2024-10-01,Bri_c4,Cold Brew,soleado,Tuesday,0,20.0
2024-10-01,Bri_c4,Espresso,soleado,Tuesday,0,20.0
2024-10-01,Bri_c4,Flat White,soleado,Tuesday,0,20.0
2024-10-01,Bri_c4,Latte,soleado,Tuesday,0,20.0
2024-10-01,Bri_c4,Mocha,soleado,Tuesday,0,20.0
2024-10-01,Bri_c5,Cappuccino,soleado,Tuesday,0,20.0
2024-10-01,Bri_c5,Cold Brew,soleado,Tuesday,0,20.0
2024-10-01,Bri_c5,Espresso,soleado,Tuesday,0,20.0
2024-10-01,Bri_c5,Flat White,soleado,Tuesday,0,20.0
2024-10-01,Bri_c5,Latte,soleado,Tuesday,0,20.0
2024-10-01,Bri_c5,Mocha,soleado,Tuesday,0,20.0
2024-10-01,Bri_c6,Cappuccino,frío extremo,Tuesday,0,20.0
2024-10-01,Bri_c6,Cold Brew,frío extremo,Tuesday,0,20.0
2024-10-01,Bri_c6,Espresso,frío extremo,Tuesday,0,20.0
2024-10-01,Bri_c6,Flat White,frío extremo,Tuesday,0,20.0
2024-10-01,Bri_c6,Latte,frío extremo,Tuesday,0,20.0
2024-10-01,Bri_c6,Mocha,frío extremo,Tuesday,0,20.0
2024-10-01,Bri_c7,Cappuccino,soleado,Tuesday,0,20.0
2024-10-01,Bri_c7,Cold Brew,soleado,Tuesday,0,20.0
2024-10-01,Bri_c7,Espresso,soleado,Tuesday,0,20.0
2024-10-01,Bri_c7,Flat White,soleado,Tuesday,0,20.0
2024-10-01,Bri_c7,Latte,soleado,Tuesday,0,20.0
2024-10-01,Bri_c7,Mocha,soleado,Tuesday,0,20.0
2024-10-01,Bri_c8,Cappuccino,soleado,Tuesday,0,20.0
2024-10-01,Bri_c8,Cold Brew,soleado,Tuesday,0,20.0
2024-10-01,Bri_c8,Espresso,soleado,Tuesday,0,20.0
2024-10-01,Bri_c8,Flat White,soleado,Tuesday,0,20.0
2024-10-01,Bri_c8,Latte,soleado,Tuesday,0,20.0
2024-10-01,Bri_c8,Mocha,soleado,Tuesday,0,20.0
2024-10-01,Bri_c9,Cappuccino,calor extremo,Tuesday,0,20.0
2024-10-01,Bri_c9,Cold Brew,calor extremo,Tuesday,0,20.0
2024-10-01,Bri_c9,Espresso,calor extremo,Tuesday,0,20.0
2024-10-01,Bri_c9,Flat White,calor extremo,Tuesday,0,20.0
2024-10-01,Bri_c9,Latte,calor extremo,Tuesday,0,20.0
2024-10-01,Bri_c9,Mocha,calor extremo,Tuesday,0,20.0
2024-10-01,Cai_c1,Cappuccino,nublado,Tuesday,0,20.0
2024-10-01,Cai_c1,Cold Brew,nublado,Tuesday,0,20.0
2024-10-01,Cai_c1,Espresso,nublado,Tuesday,0,20.0
2024-10-01,Cai_c1,Flat White,nublado,Tuesday,0,20.0
2024-10-01,Cai_c1,Latte,nublado,Tuesday,0,20.0
2024-10-01,Cai_c1,Mocha,nublado,Tuesday,0,20.0
2024-10-01,Cai_c2,Cappuccino,calor extremo,Tuesday,0,20.0
2024-10-01,Cai_c2,Cold Brew,calor extremo,Tuesday,0,20.0
2024-10-01,Cai_c2,Espresso,calor extremo,Tuesday,0,20.0
2024-10-01,Cai_c2,Flat White,calor extremo,Tuesday,0,20.0
2024-10-01,Cai_c2,Latte,calor extremo,Tuesday,0,20.0
2024-10-01,Cai_c2,Mocha,calor extremo,Tuesday,0,20.0
2024-10-01,Cai_c3,Cappuccino,calor extremo,Tuesday,0,20.0
2024-10-01,Cai_c3,Cold Brew,calor extremo,Tuesday,0,20.0
2024-10-01,Cai_c3,Espresso,calor extremo,Tuesday,0,20.0
2024-10-01,Cai_c3,Flat White,calor extremo,Tuesday,0,20.0
2024-10-01,Cai_c3,Latte,calor extremo,Tuesday,0,20.0
2024-10-01,Cai_c3,Mocha,calor extremo,Tuesday,0,20.0
2024-10-01,Cai_c4,Cappuccino,frío extremo,Tuesday,0,20.0
2024-10-01,Cai_c4,Cold Brew,frío extremo,Tuesday,0,20.0
2024-10-01,Cai_c4,Espresso,frío extremo,Tuesday,0,20.0
2024-10-01,Cai_c4,Flat White,frío extremo,Tuesday,0,20.0
2024-10-01,Cai_c4,Latte,frío extremo,Tuesday,0,20.0
2024-10-01,Cai_c4,Mocha,frío extremo,Tuesday,0,20.0
2024-10-01,Cai_c5,Cappuccino,nublado,Tuesday,0,20.0
2024-10-01,Cai_c5,Cold Brew,nublado,Tuesday,0,20.0
2024-10-01,Cai_c5,Espresso,nublado,Tuesday,0,20.0
