fecha,cafeteria_id,producto,clima,dia_semana,es_finde,predicho
2024-10-01,Ade_c1,Cappuccino,frío extremo,Tuesday,0,80.5047304500923
2024-10-01,Ade_c1,Cold Brew,frío extremo,Tuesday,0,27.42859979748346
2024-10-01,Ade_c1,Espresso,frío extremo,Tuesday,0,18.686942946391397
2024-10-01,Ade_c1,Flat White,frío extremo,Tuesday,0,95.61033327663031
2024-10-01,Ade_c1,Latte,frío extremo,Tuesday,0,71.09457929658446
2024-10-01,Ade_c1,Mocha,frío extremo,Tuesday,0,57.10736416138405
2024-10-01,Ade_c2,Cappuccino,parcialmente nublado,Tuesday,0,97.74232843554462
2024-10-01,Ade_c2,Cold Brew,parcialmente nublado,Tuesday,0,39.56251514213622
2024-10-01,Ade_c2,Espresso,parcialmente nublado,Tuesday,0,19.85923680158056
2024-10-01,Ade_c2,Flat White,parcialmente nublado,Tuesday,0,118.57547937031899
2024-10-01,Ade_c2,Latte,parcialmente nublado,Tuesday,0,78.77389542589479
2024-10-01,Ade_c2,Mocha,parcialmente nublado,Tuesday,0,39.5582078186636
2024-10-01,Ade_c3,Cappuccino,frío extremo,Tuesday,0,80.50918443333079
2024-10-01,Ade_c3,Cold Brew,frío extremo,Tuesday,0,27.42859979748346
2024-10-01,Ade_c3,Espresso,frío extremo,Tuesday,0,18.472375026075834
2024-10-01,Ade_c3,Flat White,frío extremo,Tuesday,0,96.42565936071067
2024-10-01,Ade_c3,Latte,frío extremo,Tuesday,0,69.9987819249313
2024-10-01,Ade_c3,Mocha,frío extremo,Tuesday,0,57.10736416138405
2024-10-01,Ade_c4,Cappuccino,tormenta,Tuesday,0,71.90642736874861
2024-10-01,Ade_c4,Cold Brew,tormenta,Tuesday,0,29.35967420640182
2024-10-01,Ade_c4,Espresso,tormenta,Tuesday,0,14.262249228835046
2024-10-01,Ade_c4,Flat White,tormenta,Tuesday,0,85.8846750294038
2024-10-01,Ade_c4,Latte,tormenta,Tuesday,0,58.098584773262054
2024-10-01,Ade_c4,Mocha,tormenta,Tuesday,0,28.884163759513953
